Hashtag,Post Count
dog,309825568
samoyedlovers,537932
samoyedsofinstagram,1025517
samoyed,3511671
pet,111065886
doglife,42045747
love,2117070023
dogoftheday,61708484
instadog,96926204
dogs,133440479
dogstagram,108647349
puppy,162311646
dogsofinstagram,243334764
goldenretriever,28162121
doglove,17612083
dogsofinsta,30166010
puppiesofinstagram,52292504
puppylove,67161500
doglovers,42255475
puppies,42509532
